amount,transactionFeeAmount,settlementFeeAmount,transactionProcessingFee,settlementProcessingFee,fired_rule_name,rule_content
1500.000000,30.000000,15.000000,2.000000,1.000000,"NO_RULE",""
2500.000000,30.000000,15.000000,2.000000,1.000000,"NO_RULE",""
8500.000000,30.000000,15.000000,2.000000,1.000000,"amount check","import net.com.fms_core.dto.message.IsoMessageDTO; rule amount check when $t : IsoMessageDTO(amount > 5000) then     $t.setRiskLevel(MID);     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(amount check);     $t.setFiredRule(amount check; test for amount);     $t.setRiskScore(42.0);     $t.setPaymentNetwork(visa); end"
8500.000000,30.000000,15.000000,2.000000,1.000000,"amount check","import net.com.fms_core.dto.message.IsoMessageDTO; rule amount check when $t : IsoMessageDTO(amount > 5000) then     $t.setRiskLevel(MID);     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(amount check);     $t.setFiredRule(amount check; test for amount);     $t.setRiskScore(42.0);     $t.setPaymentNetwork(visa); end"
8500.000000,30.000000,15.000000,2.000000,1.000000,"amount check","import net.com.fms_core.dto.message.IsoMessageDTO; rule amount check when $t : IsoMessageDTO(amount > 5000) then     $t.setRiskLevel(MID);     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(amount check);     $t.setFiredRule(amount check; test for amount);     $t.setRiskScore(42.0);     $t.setPaymentNetwork(visa); end"
8500.000000,30.000000,15.000000,2.000000,1.000000,"amount check","import net.com.fms_core.dto.message.IsoMessageDTO; rule amount check when $t : IsoMessageDTO(amount > 5000) then     $t.setRiskLevel(MID);     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(amount check);     $t.setFiredRule(amount check; test for amount);     $t.setRiskScore(42.0);     $t.setPaymentNetwork(visa); end"
500.000000,30.000000,15.000000,2.000000,1.000000,"NO_RULE",""
500.000000,30.000000,15.000000,2.000000,1.000000,"NO_RULE",""
8500.000000,30.000000,15.000000,2.000000,1.000000,"amount check","import net.com.fms_core.dto.message.IsoMessageDTO; rule amount check when $t : IsoMessageDTO(amount > 5000) then     $t.setRiskLevel(MID);     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(amount check);     $t.setFiredRule(amount check; test for amount);     $t.setRiskScore(42.0);     $t.setPaymentNetwork(visa); end"
1200000.000000,30.000000,15.000000,3.000000,2.000000,"amount check","import net.com.fms_core.dto.message.IsoMessageDTO; rule amount check when $t : IsoMessageDTO(amount > 5000) then     $t.setRiskLevel(MID);     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(amount check);     $t.setFiredRule(amount check; test for amount);     $t.setRiskScore(42.0);     $t.setPaymentNetwork(visa); end"
