amount,transactionFeeAmount,settlementFeeAmount,transactionProcessingFee,settlementProcessingFee,fired_rule_name,rule_content
2100.000000,0.000000,0.000000,0.000000,0.000000,first amount,"import net.com.fms_core.dto.message.IsoMessageDTO; rule \"first amount\" when $t : IsoMessageDTO(amount > 500) then     $t.setRiskLevel(\"HIGH\");     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(\"first amount\");     $t.setFiredRule(\"----\");     $t.setRiskScore(7.0);     $t.setPaymentNetwork(\"VISA\"); end"
2100.000000,0.000000,0.000000,0.000000,0.000000,first amount,"import net.com.fms_core.dto.message.IsoMessageDTO; rule \"first amount\" when $t : IsoMessageDTO(amount > 500) then     $t.setRiskLevel(\"HIGH\");     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(\"first amount\");     $t.setFiredRule(\"----\");     $t.setRiskScore(7.0);     $t.setPaymentNetwork(\"VISA\"); end"
2100.000000,0.000000,0.000000,0.000000,0.000000,first amount,"import net.com.fms_core.dto.message.IsoMessageDTO; rule \"first amount\" when $t : IsoMessageDTO(amount > 500) then     $t.setRiskLevel(\"HIGH\");     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(\"first amount\");     $t.setFiredRule(\"----\");     $t.setRiskScore(7.0);     $t.setPaymentNetwork(\"VISA\"); end"
2100.000000,0.000000,0.000000,0.000000,0.000000,second amount,"import net.com.fms_core.dto.message.IsoMessageDTO; rule \"second amount\" when $t : IsoMessageDTO(amount > 1000) then     $t.setRiskLevel(\"HIGH\");     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(\"first amount\");     $t.setFiredRule(\"----\");     $t.setRiskScore(9.0);     $t.setPaymentNetwork(\"VISA\"); end"
2100.000000,0.000000,0.000000,0.000000,0.000000,first amount,"import net.com.fms_core.dto.message.IsoMessageDTO; rule \"first amount\" when $t : IsoMessageDTO(amount > 500) then     $t.setRiskLevel(\"HIGH\");     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(\"first amount\");     $t.setFiredRule(\"----\");     $t.setRiskScore(7.0);     $t.setPaymentNetwork(\"VISA\"); end"
2100.000000,0.000000,0.000000,0.000000,0.000000,first amount,"import net.com.fms_core.dto.message.IsoMessageDTO; rule \"first amount\" when $t : IsoMessageDTO(amount > 500) then     $t.setRiskLevel(\"HIGH\");     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(\"first amount\");     $t.setFiredRule(\"----\");     $t.setRiskScore(7.0);     $t.setPaymentNetwork(\"VISA\"); end"
2100.000000,0.000000,0.000000,0.000000,0.000000,second amount,"import net.com.fms_core.dto.message.IsoMessageDTO; rule \"second amount\" when $t : IsoMessageDTO(amount > 1000) then     $t.setRiskLevel(\"HIGH\");     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(\"first amount\");     $t.setFiredRule(\"----\");     $t.setRiskScore(9.0);     $t.setPaymentNetwork(\"VISA\"); end"
2100.000000,0.000000,0.000000,0.000000,0.000000,first amount,"import net.com.fms_core.dto.message.IsoMessageDTO; rule \"first amount\" when $t : IsoMessageDTO(amount > 500) then     $t.setRiskLevel(\"HIGH\");     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(\"first amount\");     $t.setFiredRule(\"----\");     $t.setRiskScore(7.0);     $t.setPaymentNetwork(\"VISA\"); end"
50.000000,1.500000,0.500000,1.000000,0.500000,first_amount,""
50.000000,1.500000,0.500000,1.000000,0.500000,first_amount,""
50.000000,1.500000,0.500000,1.000000,0.500000,first_amount,""
300.000000,8.000000,3.000000,2.000000,1.000000,first_amount,""
300.000000,8.000000,3.000000,2.000000,1.000000,first_amount,""
700.000000,30.000000,10.000000,2.500000,1.500000,first_amount,""
400.000000,20.000000,5.000000,3.000000,1.000000,first_amount,""
1500.000000,40.000000,20.000000,3.000000,2.000000,first_amount,""
6000.000000,150.000000,80.000000,4.500000,3.000000,first amount,"import net.com.fms_core.dto.message.IsoMessageDTO; rule \"first amount\" when $t : IsoMessageDTO(amount > 500) then     $t.setRiskLevel(\"HIGH\");     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(\"first amount\");     $t.setFiredRule(\"----\");     $t.setRiskScore(7.0);     $t.setPaymentNetwork(\"VISA\"); end"
4500.000000,420.000000,200.000000,4.000000,3.500000,first amount,"import net.com.fms_core.dto.message.IsoMessageDTO; rule \"first amount\" when $t : IsoMessageDTO(amount > 500) then     $t.setRiskLevel(\"HIGH\");     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(\"first amount\");     $t.setFiredRule(\"----\");     $t.setRiskScore(7.0);     $t.setPaymentNetwork(\"VISA\"); end"
4000.000000,60.000000,30.000000,3.500000,2.000000,first_amount,""
6000.000000,150.000000,80.000000,4.500000,3.000000,first amount,"import net.com.fms_core.dto.message.IsoMessageDTO; rule \"first amount\" when $t : IsoMessageDTO(amount > 500) then     $t.setRiskLevel(\"HIGH\");     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(\"first amount\");     $t.setFiredRule(\"----\");     $t.setRiskScore(7.0);     $t.setPaymentNetwork(\"VISA\"); end"
3000.000000,450.000000,195.000000,2.500000,1.500000,first amount,"import net.com.fms_core.dto.message.IsoMessageDTO; rule \"first amount\" when $t : IsoMessageDTO(amount > 500) then     $t.setRiskLevel(\"HIGH\");     $t.setFlaggedForReview(true);     $t.setRuleFired(true);     $t.setRuleName(\"first amount\");     $t.setFiredRule(\"----\");     $t.setRiskScore(7.0);     $t.setPaymentNetwork(\"VISA\"); end"
500.000000,15.000000,8.000000,2.000000,1.000000,first_amount,""
800.000000,20.000000,10.000000,2.500000,1.500000,first_amount,""
500.000000,15.000000,8.000000,2.000000,1.000000,first_amount,""
800.000000,20.000000,10.000000,2.500000,1.500000,first_amount,""
