distance_km,time_diff_minutes,required_speed_kmh,impossible_label
927.32,871.24,63.86,0
728.93,491.14,89.05,0
277.31,337.15,49.35,0
322.81,689.36,28.1,0
592.73,435.09,81.74,0
539.15,1250.13,25.88,0
823.56,443.49,111.42,0
701.68,74.85,562.47,0
346.03,329.11,63.08,0
492.44,86.45,341.77,0
537.76,711.07,45.38,0
566.35,1115.74,30.46,0
347.75,1176.86,17.73,0
637.72,679.82,56.28,0
666.16,724.14,55.2,0
652.85,1231.75,31.8,0
389.25,265.16,88.08,0
739.68,1137.48,39.02,0
569.05,712.64,47.91,0
504.32,787.14,38.44,0
360.97,411.33,52.65,0
54.97,1041.28,3.17,0
22.09,469.71,2.82,0
826.17,676.07,73.32,0
259.49,598.53,26.01,0
454.64,1247.31,21.87,0
966.62,1414.37,41.01,0
521.92,28.73,1089.98,1
740.99,1252.52,35.5,0
74.7,969.47,4.62,0
510.96,1310.26,23.4,0
343.31,1370.9,15.03,0
553.52,1058.25,31.38,0
579.81,172.75,201.38,0
60.8,713.13,5.12,0
582.33,311.52,112.16,0
864.39,595.49,87.09,0
520.01,550.96,56.63,0
994.98,28.88,2067.13,1
114.5,250.69,27.4,0
564.67,457.87,74.0,0
568.8,64.37,530.18,0
44.21,431.72,6.14,0
109.74,239.94,27.44,0
402.38,1304.91,18.5,0
303.69,964.14,18.9,0
783.65,964.79,48.73,0
388.32,979.33,23.79,0
30.43,507.73,3.6,0
158.83,1171.26,8.14,0
607.58,13.35,2730.7,1
296.45,30.63,580.71,0
849.75,173.92,293.15,0
457.93,936.25,29.35,0
838.86,22.17,2270.26,1
965.79,274.19,211.34,0
435.43,166.99,156.45,0
259.77,492.55,31.64,0
882.71,1212.14,43.69,0
707.99,167.27,253.96,0
756.33,1337.6,33.93,0
812.53,704.05,69.24,0
558.98,63.9,524.86,0
758.8,558.74,81.48,0
775.57,1170.54,39.75,0
468.87,26.05,1079.93,1
360.64,389.46,55.56,0
947.79,659.2,86.27,0
487.47,186.96,156.44,0
600.03,772.66,46.59,0
856.66,542.11,94.81,0
867.1,1254.53,41.47,0
491.03,996.66,29.56,0
213.99,402.44,31.9,0
395.29,1059.84,22.38,0
37.43,1006.73,2.23,0
806.05,667.0,72.51,0
944.5,484.11,117.06,0
471.59,297.04,95.26,0
805.8,1068.32,45.26,0
113.81,1415.69,4.82,0
999.08,77.22,776.29,0
411.88,1233.74,20.03,0
114.94,974.01,7.08,0
570.07,1377.43,24.83,0
840.12,775.25,65.02,0
521.55,353.93,88.42,0
165.72,779.38,12.76,0
515.83,218.03,141.95,0
280.12,508.31,33.06,0
569.39,1353.14,25.25,0
824.49,299.99,164.9,0
916.14,587.94,93.49,0
761.01,947.18,48.21,0
577.96,1063.7,32.6,0
242.19,1174.1,12.38,0
521.06,476.46,65.62,0
713.42,395.79,108.15,0
532.97,1269.83,25.18,0
838.35,687.95,73.12,0
482.11,655.86,44.1,0
623.86,190.8,196.18,0
773.72,900.32,51.56,0
771.51,1254.39,36.9,0
809.66,1323.57,36.7,0
238.07,976.57,14.63,0
893.46,1233.23,43.47,0
600.55,862.07,41.8,0
72.84,1091.28,4.0,0
803.13,748.98,64.34,0
791.27,674.87,70.35,0
386.64,709.78,32.68,0
30.69,146.7,12.55,0
647.04,262.28,148.02,0
119.1,802.86,8.9,0
853.6,80.75,634.25,0
218.02,227.01,57.62,0
984.92,1415.92,41.74,0
995.84,1118.37,53.43,0
250.56,51.68,290.9,0
454.3,641.51,42.49,0
502.72,452.4,66.67,0
413.84,900.63,27.57,0
330.23,812.17,24.4,0
267.08,1051.09,15.25,0
276.11,1176.13,14.09,0
166.51,199.17,50.16,0
925.99,1093.72,50.8,0
349.38,420.36,49.87,0
377.59,111.97,202.33,0
897.36,814.99,66.06,0
425.5,882.72,28.92,0
795.39,969.04,49.25,0
421.27,24.84,1017.56,1
172.81,828.41,12.52,0
711.2,565.56,75.45,0
884.54,191.15,277.65,0
854.59,1074.95,47.7,0
224.68,428.76,31.44,0
985.83,250.76,235.88,0
616.41,104.8,352.91,0
805.75,52.88,914.24,0
469.67,483.32,58.31,0
37.61,598.14,3.77,0
635.65,745.07,51.19,0
654.62,817.27,48.06,0
366.74,534.62,41.16,0
867.85,921.51,56.51,0
428.98,1181.99,21.78,0
560.82,1190.68,28.26,0
513.91,769.06,40.09,0
282.86,609.18,27.86,0
506.64,193.97,156.72,0
135.72,544.92,14.94,0
703.04,986.53,42.76,0
117.59,393.26,17.94,0
727.95,594.68,73.45,0
119.69,728.14,9.86,0
907.55,1126.51,48.34,0
818.37,514.31,95.47,0
524.96,94.14,334.58,0
719.76,857.83,50.34,0
762.07,1113.17,41.08,0
634.22,657.39,57.89,0
834.15,251.18,199.26,0
975.39,229.21,255.33,0
240.62,3.91,3692.38,1
279.46,353.07,47.49,0
195.79,1088.6,10.79,0
349.05,1244.7,16.83,0
339.35,1371.54,14.85,0
859.64,580.89,88.79,0
873.54,1381.65,37.93,0
103.87,1437.05,4.34,0
355.32,1243.95,17.14,0
300.81,294.53,61.28,0
285.07,973.13,17.58,0
583.74,505.83,69.24,0
683.05,149.05,274.96,0
779.3,575.16,81.3,0
875.59,1346.8,39.01,0
382.47,246.19,93.21,0
42.73,1304.21,1.97,0
106.38,420.49,15.18,0
932.97,808.18,69.26,0
203.75,41.35,295.65,0
172.65,425.69,24.33,0
77.02,1021.15,4.53,0
855.36,1431.86,35.84,0
703.38,931.53,45.3,0
813.01,861.25,56.64,0
738.26,1125.69,39.35,0
396.04,1365.26,17.41,0
10.26,1169.24,0.53,0
560.34,5.03,6683.98,1
265.16,128.62,123.69,0
396.19,443.63,53.58,0
109.0,355.96,18.37,0
662.9,41.73,953.13,0
966.72,94.07,616.6,0
859.47,768.32,67.12,0
595.72,1327.07,26.93,0
380.3,226.98,100.53,0
502.92,1072.13,28.15,0
473.91,115.86,245.42,0
271.26,1350.6,12.05,0
955.09,1071.57,53.48,0
641.16,1416.23,27.16,0
937.25,140.11,401.36,0
454.81,1158.7,23.55,0
667.92,729.73,54.92,0
747.55,12.37,3625.95,1
344.47,1262.31,16.37,0
62.38,488.5,7.66,0
432.47,889.92,29.16,0
415.1,1240.3,20.08,0
503.57,937.17,32.24,0
418.44,534.66,46.96,0
911.89,84.93,644.22,0
459.2,672.17,40.99,0
406.16,701.38,34.75,0
682.66,930.8,44.0,0
460.73,465.55,59.38,0
852.87,338.17,151.32,0
243.03,72.21,201.94,0
651.76,1173.36,33.33,0
385.99,626.4,36.97,0
106.07,282.21,22.55,0
78.9,52.68,89.86,0
769.17,996.83,46.3,0
845.81,156.71,323.84,0
157.37,1181.51,7.99,0
5.71,828.78,0.41,0
627.0,60.19,625.02,0
385.98,6.49,3568.38,1
707.2,875.73,48.45,0
648.11,1248.96,31.14,0
40.04,1283.22,1.87,0
741.39,1160.0,38.35,0
717.32,940.39,45.77,0
187.97,110.53,102.04,0
134.58,833.37,9.69,0
802.37,1235.47,38.97,0
104.8,810.1,7.76,0
509.87,948.33,32.26,0
348.39,359.82,58.09,0
289.3,1061.42,16.35,0
552.85,32.24,1028.88,1
819.81,291.79,168.58,0
700.4,284.35,147.79,0
564.03,1162.92,29.1,0
287.59,841.93,20.5,0
891.36,762.04,70.18,0
520.87,729.07,42.87,0
314.52,262.66,71.85,0
998.61,1331.1,45.01,0
290.59,950.85,18.34,0
750.55,586.55,76.78,0
939.6,1116.57,50.49,0
172.03,910.7,11.33,0
467.16,182.63,153.48,0
